id,title,original_name,url,duration,count,liked_count,album_id,album_code,album_title,album_year,artists,languages
1,1ER - Uska Hi Banana.mp3,Uska Hi Banana,songs-file/1ER%20-%20Uska%20Hi%20Banana.mp3.mp3,328.3317006802721,0,0,1,1ER,1920: Evil Returns,2012,Arijit Singh,Hindi
2,1ALS - Ek Ladki Ko Dekha.mp3,Ek Ladki Ko Dekha,songs-file/1ALS%20-%20Ek%20Ladki%20Ko%20Dekha.mp3.mp3,275.3077,0,0,2,1ALS,1942: A Love Story,1994,Kumar Sanu,Hindi
3,2S - Locha-E-Ulfat.mp3,Locha-E-Ulfat,songs-file/2S%20-%20Locha-E-Ulfat.mp3.mp3,288.4622675736961,0,0,3,2S,2 States,2014,Benny Dayal,Hindi
4,3 - Why This Kolaveri Di.mp3,Why This Kolaveri Di,songs-file/3%20-%20Why%20This%20Kolaveri%20Di.mp3.mp3,259.372975,0,0,4,3,3,2012,"Dhanush, Anirudh Ravichander",Hindi
5,3I - Behti Hawa Sa Tha Woh.mp3,Behti Hawa Sa Tha Woh,songs-file/3I%20-%20Behti%20Hawa%20Sa%20Tha%20Woh.mp3.mp3,301.87102040816325,0,0,5,3I,3 Idiots,2009,"Shaan, Shantanu Moitra",Hindi
6,3I - Jaane Nahin Denge.mp3,Jaane Nahin Denge,songs-file/3I%20-%20Jaane%20Nahin%20Denge.mp3.mp3,212.4,0,0,5,3I,3 Idiots,2009,Sonu Nigam,Hindi
7,ABCD2 - Bezubaan Phir Se.mp3,Bezubaan Phir Se,songs-file/ABCD2%20-%20Bezubaan%20Phir%20Se.mp3.mp3,272.5126,0,0,6,ABCD2,ABCD 2,2015,"Anushka Manchanda, Madhav Krishna, Vishal Dadlani",Hindi
8,ABCD2 - Chunar.mp3,Chunar,songs-file/ABCD2%20-%20Chunar.mp3.mp3,269.064425,0,0,6,ABCD2,ABCD 2,2015,Arijit Singh,Hindi
9,ABCD2 - Sun Saathiya.mp3,Sun Saathiya,songs-file/ABCD2%20-%20Sun%20Saathiya.mp3.mp3,222.21055,0,0,6,ABCD2,ABCD 2,2015,"Divya Kumar, Priya Saraiya",Hindi
10,AABCD - Bezubaan.mp3,Bezubaan,songs-file/AABCD%20-%20Bezubaan.mp3.mp3,282.6533333333333,0,0,7,AABCD,ABCD: Any Body Can Dance,2012,"Mohit Chauhan, Priya Saraiya, Deane Sequeira, Tanvi Shah",Hindi
11,AN - O Re Piya.mp3,O Re Piya,songs-file/AN%20-%20O%20Re%20Piya.mp3.mp3,379.3773922902494,0,0,8,AN,Aaja Nachle,2007,Rahat Fateh Ali Khan,Hindi
12,AKRS - Saude Bazi.mp3,Saude Bazi,songs-file/AKRS%20-%20Saude%20Bazi.mp3.mp3,354.49904761904764,0,0,9,AKRS,Aakrosh,2010,"Anupam Amod, Javed Ali",Hindi
13,AAND - Tere Bina Zindagi Se.mp3,Tere Bina Zindagi Se,songs-file/AAND%20-%20Tere%20Bina%20Zindagi%20Se.mp3.mp3,221.20489795918368,0,0,10,AAND,Aandhi,1975,"Kishore Kumar, Lata Mangeshkar",Hindi
14,AABA - Mujhe Teri Mohabbat Ka Sahara.mp3,Mujhe Teri Mohabbat Ka Sahara,songs-file/AABA%20-%20Mujhe%20Teri%20Mohabbat%20Ka%20Sahara.mp3.mp3,381.16,0,0,11,AABA,Aap Aye Bahaar Ayee,1971,"Lata Mangeshkar, Mohammed Rafi",Hindi
15,ARKSN - Achha Lagta Hai.mp3,Achha Lagta Hai,songs-file/ARKSN%20-%20Achha%20Lagta%20Hai.mp3.mp3,236.09333333333333,0,0,12,ARKSN,Aarakshan,2011,"Mohit Chauhan, Shreya Ghoshal, Shankar-Ehsaan-Loy",Hindi
16,ARZO - Ab Tere Dil Mein To.mp3,Ab Tere Dil Mein To,songs-file/ARZO%20-%20Ab%20Tere%20Dil%20Mein%20To.mp3.mp3,501.25333333333333,0,0,13,ARZO,Aarzoo,1999,"Alka Yagnik, Kumar Sanu",Hindi
17,ASIQ - Dheere Dheere Se Meri Zindagi Mein Aana.mp3,Dheere Dheere Se Meri Zindagi Mein Aana,songs-file/ASIQ%20-%20Dheere%20Dheere%20Se%20Meri%20Zindagi%20Mein%20Aana.mp3.mp3,329.699375,0,0,14,ASIQ,Aashiqui,1990,Kumar Sanu,Hindi
18,ASIQ - Ek Sanam Chahiye Aashiqui Ke Liye.mp3,Ek Sanam Chahiye Aashiqui Ke Liye,songs-file/ASIQ%20-%20Ek%20Sanam%20Chahiye%20Aashiqui%20Ke%20Liye.mp3.mp3,372.77055,0,0,14,ASIQ,Aashiqui,1990,Kumar Sanu,Hindi
19,ASIQ - Nazar Ke Samne.mp3,Nazar Ke Samne,songs-file/ASIQ%20-%20Nazar%20Ke%20Samne.mp3.mp3,335.25551020408165,0,0,14,ASIQ,Aashiqui,1990,"Anuradha Paudwal, Kumar Sanu",Hindi
20,ASIQ - Tu Meri Zindagi Hai.mp3,Tu Meri Zindagi Hai,songs-file/ASIQ%20-%20Tu%20Meri%20Zindagi%20Hai.mp3.mp3,285.338725,0,0,14,ASIQ,Aashiqui,1990,"Anuradha Paudwal, Kumar Sanu",Hindi
21,A2 - Hum Mar Jayenge.mp3,Hum Mar Jayenge,songs-file/A2%20-%20Hum%20Mar%20Jayenge.mp3.mp3,306.5498412698413,0,0,15,A2,Aashiqui 2,2013,"Shreya Ghoshal, Arijit Singh, Tulsi Kumar",Hindi
22,A2 - Meri Aashiqui.mp3,Meri Aashiqui,songs-file/A2%20-%20Meri%20Aashiqui.mp3.mp3,266.169625,0,0,15,A2,Aashiqui 2,2013,"Arijit Singh, Palak Muchhal",Hindi
23,A2 - Milne Hai Mujhse Aayi.mp3,Milne Hai Mujhse Aayi,songs-file/A2%20-%20Milne%20Hai%20Mujhse%20Aayi.mp3.mp3,295.84544217687073,0,0,15,A2,Aashiqui 2,2013,Arijit Singh,Hindi
24,A2 - Piya Aaye Na.mp3,Piya Aaye Na,songs-file/A2%20-%20Piya%20Aaye%20Na.mp3.mp3,286.1627210884354,0,0,15,A2,Aashiqui 2,2013,"Tulsi Kumar, KK",Hindi
25,A2 - Sunn Raha Hai (Female).mp3,Sunn Raha Hai (Female),songs-file/A2%20-%20Sunn%20Raha%20Hai%20(Female).mp3.mp3,314.9322448979592,0,0,15,A2,Aashiqui 2,2013,Shreya Ghoshal,Hindi
26,A2 - Sunn Raha Hai.mp3,Sunn Raha Hai,songs-file/A2%20-%20Sunn%20Raha%20Hai.mp3.mp3,390.2577777777778,0,0,15,A2,Aashiqui 2,2013,Ankit Tiwari,Hindi
27,A2 - Tum Hi Ho.mp3,Tum Hi Ho,songs-file/A2%20-%20Tum%20Hi%20Ho.mp3.mp3,262.7998125,0,0,15,A2,Aashiqui 2,2013,Arijit Singh,Hindi
28,A2 - Aashiqui 2 (Mashup).mp3,Aashiqui 2 (Mashup),songs-file/A2%20-%20Aashiqui%202%20(Mashup).mp3.mp3,302.85786848072564,0,0,15,A2,Aashiqui 2,2013,"Arijit Singh, Shreya Ghoshal, Tulsi Kumar, Palak Muchhal, KK, Ankit Tiwari, Mustafa Zahid",Hindi
29,A2 - Bhula Dena.mp3,Bhula Dena,songs-file/A2%20-%20Bhula%20Dena.mp3.mp3,240.62839002267575,0,0,15,A2,Aashiqui 2,2013,Mustafa Zahid,Hindi
30,ABDL - Aap Jaisa Koi.mp3,Aap Jaisa Koi,songs-file/ABDL%20-%20Aap%20Jaisa%20Koi.mp3.mp3,247.6488125,0,0,16,ABDL,Abdullah,1980,Nazia Hassan,Hindi
31,ABDL - Maine Poochha Chand Se.mp3,Maine Poochha Chand Se,songs-file/ABDL%20-%20Maine%20Poochha%20Chand%20Se.mp3.mp3,310.1859375,0,0,16,ABDL,Abdullah,1980,Mohammed Rafi,Hindi
32,AR - Zor Ka Jhatka.mp3,Zor Ka Jhatka,songs-file/AR%20-%20Zor%20Ka%20Jhatka.mp3.mp3,250.42666666666668,0,0,17,AR,Action Replayy,2010,"Daler Mehndi, Richa Sharma",Hindi
33,ADHM - Bulleya.mp3,Bulleya,songs-file/ADHM%20-%20Bulleya.mp3.mp3,348.94367346938776,0,0,18,ADHM,Ae Dil Hai Mushkil,2016,Pritam Chakraborty,Hindi
34,ADHM - Channa Mereya.mp3,Channa Mereya,songs-file/ADHM%20-%20Channa%20Mereya.mp3.mp3,289.3322448979592,0,0,18,ADHM,Ae Dil Hai Mushkil,2016,Arijit Singh,Hindi
